Identifier,Character,Dialogue,Filename,Line Number
start_465a9d3b,n,"Despite my attempts to get back up, all I managed was a brief look at the girl.",game/script.rpy,231
start_8f13e155,n,"The sight of horns and a tail left many questions, but before I had a chance to utter even a single word, my consciousness succumbed to darkness.",game/script.rpy,232
start_2079d481_2,centered,...,game/script.rpy,235
start_acc7d88d,centered,.....,game/script.rpy,236
start_9220bd0a,centered,........,game/script.rpy,237
start_246690b3,centered,"Rays of sunlight stirred me back to life, a groan of annoyance leaving my mouth while I tried to get back onto my feet.",game/script.rpy,241
start_6e0231c1,centered,"I felt a bit dizzy, but the first thing I noticed was that I was no longer at the shrine. Instead, it looked like the forest near the dojo.",game/script.rpy,242
start_7438e738,centered,"Of course, my first thought was to look around to see if I could find the girl from before, but not a trace of her presence remained.",game/script.rpy,243
start_297ce4aa,centered,"To make things even stranger, the path that I had followed amidst the trees seemed better maintained than I remembered.",game/script.rpy,244
start_fd2b4710,mc,I should probably head home...,game/script.rpy,246
start_f5bdf1be,n,That thought was cut short when the sound of several female voices could be heard nearby.,game/script.rpy,247
start_ca09c89c,Sternvoice,"GET BACK HEEERE! Hikage, stop them at once!",game/script.rpy,248
start_3ec67efc,Angryvoice,Just what do you think I'm doing? I'm chasing them! I'm TRYING to stop them!,game/script.rpy,249
start_776778c4,Singsongvoice,"Nyahaa! I think they noticed what's missing, onee-sama!",game/script.rpy,250
start_34056bca,Maturevoice,"Keep running, little one, and we might just make it!",game/script.rpy,251
start_890ee1ce,n,"Just when I thought this day couldn't get any weirder, the sound of heavy footfalls could be heard nearby.",game/script.rpy,254
start_b5c15f0d,n,What in the world is going on here?,game/script.rpy,258
start_2d811593,n,"Further ahead, I saw a couple of girls in fast pursuit of even more girls! However, there was something off about this scene. Something that didn't make any sense.",game/script.rpy,259
start_cfdc817b,n,The girls being chased had the ears and the tail of an animal... And the pursuers appeared to be armed with a katana and naginata!,game/script.rpy,260
start_54c2822d,Katanagirl,You conniving fox! Come back here at once! Return what you stole immediately!,game/script.rpy,261
start_50abfad8,Naginatagirl,GIVE ME BACK MY PANTIES!!!,game/script.rpy,262
start_6779961b,Katanagirl,H-H-H-H-HIKAGE!!!! HOW COULD YOU SAY SOMETHING OUT LOUD LIKE THAT!?,game/script.rpy,263
start_e4f2c39e,BlondeKitsune,"Hahaha! Panties, panties!",game/script.rpy,264
start_ff433ab9,SilverhairedKitsune,"Haha! Oh no! Help, save us from the rampaging women! Hehehe!",game/script.rpy,265
start_60d27809,n,"As I watched the girls run off, I couldn't help but find myself struggling with the decision to just leave them be.",game/script.rpy,266
start_13e1a779,n,"While I didn't know what in the world was going on, the two girls armed with rather realistic looking props (surely they couldn't be real) had me worried.",game/script.rpy,267
start_f8f84e13,n,I couldn't very well call myself a hero if I let something like this go by without acting.,game/script.rpy,268
start_9d3886d3,mc,I'm so going to regret this...,game/script.rpy,269
start_f497c3aa,n,"Mumbling in annoyance, I chased after the girls.",game/script.rpy,270
start_d003d071,Katanagirl,Hikage! Go around to the left!,game/script.rpy,271
start_9cc5b0a1,Naginatagirl,Right!,game/script.rpy,272
start_abb7f0e0,Katanagirl,I SAID LEFT! WHY DO YOU ALWAYS UNDERMINE ME?,game/script.rpy,273
start_fa04ad8d,Naginatagirl,"I wasn't saying 'right', I was... You know what, never mind, just run after them!",game/script.rpy,274
start_dae8de63,n,"As I was chasing the girls, I noticed that the trees seemed to be getting denser, making it gradually more difficult to navigate along the path.",game/script.rpy,275
start_68c2547b,BlondeKitsune,"Onee-sama, I don't think I can run much more! I'm... I'm starting to... feel a bit... nnhhh!!!",game/script.rpy,280
start_7997dc2f,SilverhairedKitsune,"Just a little longer, Maeko-chan, we're almost... MAEKO!! Maeko, not that, not now!",game/script.rpy,285
start_d3a408e2,BlondeKitsune,S-Sorry... onee-sama...,game/script.rpy,289
start_75f152e6,Naginatagirl,SCISSOR ATTACK!,game/script.rpy,298
start_212a723c,n,"I arrived just in time to find a scene taken straight from an action movie. The girl with the blond hair had collapsed, held in her companion's protective embrace.",game/script.rpy,300
start_ef74f2fb,n,"The two armed girls were approaching them, almost unmistakably with killing instincts running amok.",game/script.rpy,301
start_70e69d99,n,Any seasoned martial artist would have felt it. Those girls were going to be in for a beating if I didn't stop them!,game/script.rpy,302
start_4006d8bc,Katanagirl,"We've got you now, thieves! I'm going to personally drag your sorry butts back to town and have you both put in the stocks! Maybe I'll even show you how it feels to run around without any undies on!",game/script.rpy,306
start_1491440b,Naginatagirl,"Yeah! Although, I must admit, having a breeze down there does feel kinda nice! Keeps me feeling fresh and tingly!",game/script.rpy,310
start_2a08ec15,Katanagirl,"Hikage! Goodness, don't you have any shame? This isn't about you. It's about our undergarments. STOLEN. And these two criminals being brought to justice!",game/script.rpy,314
start_90a78396,BlondeKitsune,Nnhh... Onee-sama... it hurts... My head hurts!,game/script.rpy,320
start_e29a686c,SilverhairedKitsune,"Shhhh, it's going to be OK, little one.",game/script.rpy,325
start_805f81db,SilverhairedKitsune,"Hey, guards! If you're so desperate to have your underwear back, then here, catch!",game/script.rpy,330
start_803444db,mc,Stop it right there--,game/script.rpy,331
start_02da60e2,n,"However, before I was able to interrupt the conversation, the silver haired girl tossed something into the air.",game/script.rpy,332
start_61e1c60b,n,"Whatever it was, it was flying straight towards my head. The two samurai girls instantly grew flustered.",game/script.rpy,333
start_f0757fbe,mc,"Ugh, I can't see! Who the hell tosses a--",game/script.rpy,337
start_f2e14c0a,n,"Peeling the items off of my face, I raised them into the air, looking like a professor examining an important sample while the thieves made their escape.",game/script.rpy,338
start_cf2f5ff1,mc,A pink bra and lacy black panties...,game/script.rpy,339
start_78b90ab1,n,"Oh boy, I knew this wasn't going to end well...",game/script.rpy,340
start_83a68a4f,Katanagirl,"Ah! You there! Are you in cahoots with those crafty foxes? And hand those back immediately! Those are evidence of a crime, and not for anyone else to touch!",game/script.rpy,347
start_fac5fb59,Naginatagirl,DROP THE PANTIES RIGHT NOW!,game/script.rpy,351
start_97e8015e,mc,"I'm innocent until proven guilty! It's one of the golden rules of the court! Just, stop pointing those weapons at me so I can hand over your... undies without being turned into shish kebab.",game/script.rpy,352
start_eeddb98e,Katanagirl,"What, no, stop, SHUT UP!! JUST DROP THE EVIDENCE AND WALK AWAY! I am Tsukino Miyo, chief of the village guards, and I am ORDERING you to drop what you're holding, right now!",game/script.rpy,354
start_273a314e,mc,"I don't know of any village guards, and I seriously doubt a cop would go around, dressed like that, and wielding a katana.",game/script.rpy,355
start_c1eab6ee,mc,"More importantly. The ground here is muddy and dirty. Are you sure I should drop the evidence here? I mean, I could but...",game/script.rpy,356
start_3b0dcf3f,Naginatagirl,HYAAAH!!,game/script.rpy,359
start_8347b741,n,"Before I could react, the pink haired girl lunged towards me, the pointy end of her naginata aiming for my gut.",game/script.rpy,360
start_d1a1893f,n,"My reflexes caught on just in time, and I was able to palm away the spear as it sailed through the air. I struck upwards on the wooden shaft of the weapon, sending it up into the air, and causing the girl to lose her balance.",game/script.rpy,361
start_3e61e323,Miyo,Narumi! I did not order you to attack!,game/script.rpy,362
start_4484a298,mc,"Fine! Fine! I'll give them back! Geez, just my luck to find a bunch of crazy girls with weapons...",game/script.rpy,363
start_859c279d,n,"Extending the hand that held the undies, I tried to hand them over, something that I would soon end up regretting...",game/script.rpy,364
start_00ee2ddc,Narumi,"Hah! You think I'd fall for something so simple! Fool! You may have fooled me once, but I won't let that happen again!",game/script.rpy,365
start_fd0c1226,n,"The woman swung her weapon wide, arcing the thick wooden pole into my side before I could dodge.",game/script.rpy,367
start_d7cf0312,n,"She then lunged forwards, and grabbed me tightly, pulling my arms around behind my back, leaving me with sore ribs and in a prone position.",game/script.rpy,368
start_38cd20a4,n,"I could have fought back, but I figured it would only lead to more fighting. With the possibility of ending up stabbed, I decided to remain passive.",game/script.rpy,369
start_51119fdb,n,"The sword wielding girl stepped forward, and grabbed the silky underwear from my hand triumphantly.",game/script.rpy,370
start_494cd35e,Miyo,"Hmph... Your methods might be crude, but they do get results, Hikage. Tie him up. We'll bring him in for questioning. He probably knows where those pesky thieves are hiding.",game/script.rpy,373
start_50c31cdb,Narumi,Right!,game/script.rpy,376
start_4dbe3fa6,mc,And people wonder why criminals want to resist arrest at all costs...,game/script.rpy,377
start_c5cbddff,n,"I mumbled this weakly as the girl with the naginata tied my wrists together with rope, and I soon felt myself dragged by the duo towards the city.",game/script.rpy,378
start_ed86fd81,mc,"Surely, once we're out of the forest, you two will stop this act of yours and let me go, right? As much as I like to fool around, I have more important things to do.",game/script.rpy,379
start_da24e585,Miyo,"The city? Hah! We're not taking you all the way there! You'll be spending the night in the village cells, thief!",game/script.rpy,382
start_d7f6b958,mc,"Who are you calling a thief?! I'm the victim! First, I get undies tossed in my face, then I had to deal with physical abuse, and now these accusations?! Besides, there's no village around these parts. It's a city! You know, Tsukino Toshi!",game/script.rpy,383
start_1f6165be,Miyo,"Silence! Hikage, if he speaks again before we get to the village, you have my permission to knock him unconscious!",game/script.rpy,386
start_fbe547f2,mc,... Tsundere Tyrant...,game/script.rpy,387
start_e70c7a91,Narumi,Hehe... that's funny!,game/script.rpy,391
start_20c1e176,n,"And that's how I ended up on my way to a jail cell, cuffed and dragged by two girls, both of who I started to suspect were crazy.",game/script.rpy,393
start_757af004,n,"When we exited the forest, alarms set off in my mind. The city I had lived in my whole life... It was gone!",game/script.rpy,399
start_ca7cae9c,mc,You've got to be kidding me...,game/script.rpy,400
start_25ed8882,n,"If I wasn't in Tsukino Toshi, then where the hell was I?!",game/script.rpy,401
start_6ab4c6aa,Narumi,"Hey, no talking! Come on, I don't want to bop you that much... kinda... maybe a punch or two. I just want to know how the heck you blocked my strike so easily!",game/script.rpy,404
start_f91e7059,mc,"Your attack had a lot of power behind it, but it was kind of predictable. With the right movement and enough force, that's the result you get.",game/script.rpy,405
start_0f910a7c,mc,"Anyway... I'll play along for a bit. Where in the world are we? This clearly isn't my hometown. I mean, the buildings look more like they belong in some sort of classic samurai movie.",game/script.rpy,406
start_e692df62,Narumi,Huh? What the heck is a 'moo-vey'? This is Harumaru. It's been here forever!,game/script.rpy,407
start_b59cd3b4,Miyo,Hikage! I thought I told you to silence him if he spoke again!,game/script.rpy,410
start_86115dd8,Narumi,"Actually, you told me that I COULD, but you didn't tell me that I HAD to!",game/script.rpy,413
start_a8a3e3a8,mc,"Must be tough, being the subordinate of someone like that.",game/script.rpy,414
start_e7686b05,Miyo,Be quiet or I will silence you for good!,game/script.rpy,416
